gen	invalid	avg	std	min	max	best_ind_length	avg_length	best_ind_nodes	avg_nodes	best_ind_depth	avg_depth	avg_used_codons	best_ind_used_codons	structural_diversity	selection_time	generation_time
0	0	0.49695500000000004	0.003507716493675067	0.49229999999999996	0.5077	22	813.21	6	136.41	8	9.65	542.42	15	0.98	0	4.91400408744812
1	5	0.4952042105263158	0.002077240871899353	0.4917	0.5031	15	1014.1894736842105	2	46.38947368421053	6	11.43157894736842	178.81052631578947	5	0.85	0.00021600723266601562	2.0463454723358154
2	7	0.4951634408602151	0.0029700941278388657	0.491	0.5057	8	894.1397849462365	2	21.021505376344088	6	9.279569892473118	77.46236559139786	5	0.7	0.000186920166015625	1.112367868423462
3	10	0.4937822222222222	0.002677170055519977	0.4907	0.5049	15	700.9666666666667	2	9.033333333333333	6	6.788888888888889	32.36666666666667	5	0.47	0.0001876354217529297	0.7843005657196045
4	6	0.49338510638297867	0.0030111479908375787	0.49050000000000005	0.5057	1400	587.0957446808511	5	4.372340425531915	7	6.1063829787234045	14.0	14	0.46	0.00018167495727539062	0.6904239654541016
5	2	0.49317448979591827	0.002668153501401053	0.49050000000000005	0.5049	1400	454.7448979591837	5	2.489795918367347	7	5.714285714285714	6.755102040816326	14	0.35	0.00018286705017089844	0.6365566253662109
6	4	0.49298541666666656	0.0038010409530007494	0.4897	0.5064	16	434.15625	2	2.8645833333333335	6	6.010416666666667	8.291666666666666	5	0.34	0.00021600723266601562	0.5835769176483154
7	2	0.49347857142857127	0.004321263279011196	0.4897	0.5091	16	657.0918367346939	2	2.683673469387755	6	6.1020408163265305	7.204081632653061	5	0.45	0.00019168853759765625	0.6282377243041992
8	3	0.4932113402061855	0.003928874771067908	0.48919999999999997	0.5064	1401	663.8556701030927	2	2.845360824742268	6	6.11340206185567	7.670103092783505	5	0.49	0.0001964569091796875	0.697150707244873
9	4	0.49366874999999993	0.004272155791186295	0.48919999999999997	0.5049	1401	686.28125	2	3.2395833333333335	6	6.354166666666667	8.947916666666666	5	0.55	0.0001919269561767578	0.6547749042510986
10	3	0.49274536082474213	0.0033983932109450284	0.48919999999999997	0.5049	1401	673.5051546391752	2	3.3195876288659796	6	6.43298969072165	9.278350515463918	5	0.56	0.0001800060272216797	0.6392045021057129
11	3	0.49219896907216487	0.0034213849865000036	0.48919999999999997	0.5049	1401	618.1237113402062	2	2.865979381443299	6	6.185567010309279	7.793814432989691	5	0.44	0.00017881393432617188	0.5744204521179199
12	1	0.49121111111111104	0.0032333454822917377	0.48919999999999997	0.5049	1401	661.5555555555555	2	2.404040404040404	6	6.02020202020202	6.292929292929293	5	0.31	0.00018262863159179688	0.596001386642456
13	1	0.49214343434343427	0.0042778537433776	0.48919999999999997	0.5091	1401	579.2121212121212	2	2.212121212121212	6	5.929292929292929	5.797979797979798	5	0.3	0.00018310546875	0.6274569034576416
