gen	invalid	avg	std	min	max	best_ind_length	avg_length	best_ind_nodes	avg_nodes	best_ind_depth	avg_depth	avg_used_codons	best_ind_used_codons	structural_diversity	selection_time	generation_time
0	0	0.49633099999999997	0.0026836055969534788	0.4907	0.5057	7	809.31	2	135.54	6	9.42	539.82	5	0.96	0	10.469660758972168
1	7	0.49664516129032255	0.005104404931543764	0.4907	0.5256000000000001	7	1037.010752688172	2	51.88172043010753	6	11.591397849462366	198.8709677419355	5	0.83	0.00017786026000976562	5.815697908401489
2	13	0.4948413793103448	0.004531614406807541	0.4907	0.524	1484	819.5862068965517	2	24.275862068965516	6	9.39080459770115	91.34482758620689	5	0.6	0.0001800060272216797	3.9388039112091064
3	5	0.49428315789473676	0.003232813753457339	0.4907	0.5055000000000001	1484	776.4105263157895	2	18.221052631578946	6	7.347368421052631	66.10526315789474	5	0.54	0.0001838207244873047	3.8181254863739014
4	4	0.4940437499999999	0.003183021772493339	0.4897	0.5048	1528	710.34375	2	5.09375	6	6.3125	17.083333333333332	5	0.54	0.00018739700317382812	3.0305020809173584
5	2	0.49267040816326524	0.0025381259832545962	0.4897	0.5049	1528	746.8775510204082	2	2.142857142857143	6	5.744897959183674	5.622448979591836	5	0.35	0.0001804828643798828	2.9997427463531494
6	0	0.4918229999999999	0.001994485146597988	0.4897	0.49960000000000004	1528	999.95	2	1.96	6	5.8	4.87	5	0.27	0.0001811981201171875	3.1334855556488037
7	1	0.49294141414141424	0.0037739139209887005	0.48960000000000004	0.5057	1483	1133.858585858586	2	1.9090909090909092	6	5.818181818181818	4.797979797979798	5	0.31	0.00019216537475585938	2.868825912475586
8	0	0.492482	0.0035802620015859144	0.48960000000000004	0.5114000000000001	1483	1217.75	2	1.88	6	5.76	4.79	5	0.3	0.00032711029052734375	2.8526573181152344
9	0	0.4915580000000002	0.003238184059005906	0.48960000000000004	0.5049	1483	1311.16	2	1.96	6	5.87	4.93	5	0.27	0.00017571449279785156	3.1603918075561523
10	0	0.4915740000000002	0.0034905478080094953	0.48960000000000004	0.5087999999999999	1483	1401.95	2	1.93	6	5.87	4.88	5	0.28	0.00018548965454101562	3.2304062843322754
11	0	0.4921110000000002	0.0042873510469752674	0.48960000000000004	0.5114000000000001	1483	1435.91	2	1.95	6	5.78	4.88	5	0.32	0.00017595291137695312	3.2868974208831787
12	0	0.4925010000000002	0.004223375308920566	0.48960000000000004	0.5114000000000001	1483	1460.89	2	1.89	6	5.66	4.76	5	0.31	0.00017380714416503906	3.5407769680023193
13	0	0.4933700000000002	0.004532140774512617	0.48960000000000004	0.5087999999999999	1483	1487.34	2	1.91	6	5.7	4.82	5	0.34	0.0001761913299560547	2.9995691776275635
14	0	0.4920260000000002	0.003385162329933369	0.48960000000000004	0.5017	1483	1486.62	2	1.91	6	5.71	4.86	5	0.31	0.00018072128295898438	3.1222848892211914
15	0	0.49217100000000014	0.003773600270298889	0.48960000000000004	0.5087999999999999	1483	1486.43	2	1.97	6	5.74	4.91	5	0.31	0.00017952919006347656	3.202219009399414
16	0	0.4920210000000002	0.0035954497632424056	0.48960000000000004	0.5087999999999999	1483	1485.84	2	1.96	6	5.83	4.93	5	0.32	0.0001761913299560547	3.1183745861053467
17	0	0.49206700000000014	0.003690015040619736	0.48960000000000004	0.5087999999999999	1483	1486.34	2	1.95	6	5.78	4.96	5	0.3	0.0001914501190185547	3.2137019634246826
18	0	0.49225300000000016	0.004216099026351234	0.48960000000000004	0.5087999999999999	1483	1487.69	2	1.93	6	5.73	4.9	5	0.22	0.00018715858459472656	2.800910711288452
19	0	0.4913750000000002	0.0028337386964926554	0.48960000000000004	0.5003	1483	1487.44	2	1.9	6	5.76	4.8	5	0.21	0.00019097328186035156	2.8471362590789795
20	0	0.49208100000000016	0.003609811490923023	0.48960000000000004	0.5049	1483	1486.51	2	1.89	6	5.73	4.79	5	0.23	0.0001819133758544922	2.9414024353027344
21	0	0.49245700000000014	0.003955584786096718	0.48960000000000004	0.5087999999999999	1483	1484.64	2	2.07	6	5.68	5.53	5	0.27	0.00019288063049316406	2.9631924629211426
22	0	0.4918850000000002	0.0034001874948302317	0.48960000000000004	0.5017	1483	1485.31	2	1.97	6	5.77	4.96	5	0.24	0.00017905235290527344	3.334533452987671
23	0	0.49201000000000017	0.0036604781108483474	0.48960000000000004	0.5087999999999999	1483	1485.28	2	1.93	6	5.76	4.88	5	0.29	0.00018310546875	3.064962148666382
24	0	0.49241700000000016	0.004026513504261455	0.48960000000000004	0.5087999999999999	1483	1484.72	2	1.91	6	5.63	4.89	5	0.27	0.0001728534698486328	3.2636783123016357
25	0	0.4921960000000002	0.0033413745674497285	0.48960000000000004	0.5045	1483	1485.4	2	1.94	6	5.64	4.95	5	0.26	0.0001857280731201172	3.164250612258911
26	0	0.49203700000000017	0.003627551653663925	0.48960000000000004	0.5087999999999999	1483	1486.09	2	2.07	6	5.77	5.49	5	0.22	0.00017952919006347656	3.0519156455993652
