gen	invalid	avg	std	min	max	best_ind_length	avg_length	best_ind_nodes	avg_nodes	best_ind_depth	avg_depth	avg_used_codons	best_ind_used_codons	structural_diversity	selection_time	generation_time
0	0	0.4967741935483872	5.551115123125783e-17	0.49677419354838714	0.49677419354838714	4480	4603.0	982	1023.0	13	13.0	3069.0	2987	1.0	0	0.6557414531707764
1	0	0.5006451612903227	0.007741935483870943	0.49677419354838714	0.5161290322580645	4480	4635.4	982	689.2	13	15.0	2055.2	2987	1.0	3.790855407714844e-05	0.289975643157959
2	0	0.4967741935483872	5.551115123125783e-17	0.49677419354838714	0.49677419354838714	4480	4622.9	982	628.0	13	12.8	1883.3	2987	1.0	5.0067901611328125e-05	0.25293827056884766
3	0	0.49483870967741944	0.005806451612903241	0.4774193548387097	0.49677419354838714	5334	4440.9	7	618.1	7	11.4	1854.5	17	1.0	4.076957702636719e-05	0.15422964096069336
4	0	0.503225806451613	0.019989591464296328	0.4774193548387097	0.5548387096774193	5334	4477.0	7	550.5	7	14.1	1646.3	17	1.0	4.744529724121094e-05	0.16811370849609375
5	0	0.4929032258064517	0.009214746359410128	0.4774193548387097	0.5032258064516129	5334	4960.9	7	564.6	7	15.5	1686.7	17	1.0	4.3392181396484375e-05	0.15742158889770508
6	0	0.4935483870967742	0.011267257546176116	0.4774193548387097	0.5161290322580645	5334	4678.4	7	324.9	7	9.8	968.3	17	1.0	2.6941299438476562e-05	0.28319454193115234
7	0	0.4845161290322581	0.009326988577290966	0.47096774193548385	0.49677419354838714	5337	4233.0	10	242.8	8	9.6	720.7	27	1.0	4.3392181396484375e-05	0.19097161293029785
8	0	0.48129032258064514	0.008262095790235954	0.47096774193548385	0.49677419354838714	5337	4230.3	10	15.6	8	8.1	42.9	27	1.0	4.649162292480469e-05	0.12321782112121582
9	0	0.48516129032258065	0.014936563745535782	0.47096774193548385	0.5225806451612903	5337	4696.9	10	28.4	8	10.6	80.4	27	1.0	3.24249267578125e-05	0.1289665699005127
10	0	0.48258064516129034	0.009911155803701431	0.47096774193548385	0.5032258064516129	5337	4681.4	10	16.3	8	8.2	45.2	27	1.0	3.695487976074219e-05	0.11560416221618652
11	0	0.47935483870967743	0.008186179058354517	0.47096774193548385	0.5032258064516129	5337	4372.1	10	14.7	8	7.7	40.4	27	0.9	4.649162292480469e-05	0.11235260963439941
12	0	0.487741935483871	0.022755086565868915	0.47096774193548385	0.5419354838709678	5337	4695.7	10	15.5	8	8.1	43.0	27	1.0	3.457069396972656e-05	0.11094474792480469
13	0	0.4812903225806452	0.0104826301995303	0.47096774193548385	0.5096774193548388	5337	4695.6	10	15.2	8	8.1	42.3	27	1.0	4.00543212890625e-05	0.09943771362304688
14	0	0.4806451612903226	0.014208203577771127	0.47096774193548385	0.5225806451612903	2138	4037.5	227	37.3	22	9.4	105.9	655	1.0	4.2438507080078125e-05	0.11669635772705078
15	0	0.48193548387096774	0.012593045997382682	0.47096774193548385	0.5096774193548388	2138	3727.3	227	74.2	22	12.0	209.7	655	1.0	4.38690185546875e-05	0.13442564010620117
16	0	0.48580645161290326	0.013548387096774214	0.47096774193548385	0.5096774193548388	2138	3737.3	227	54.5	22	11.3	156.5	655	1.0	4.1484832763671875e-05	0.14227008819580078
17	0	0.47806451612903234	0.006735681618651985	0.47096774193548385	0.49677419354838714	2138	3418.5	227	39.0	22	9.7	111.3	655	1.0	2.765655517578125e-05	0.10443115234375
18	0	0.4832258064516129	0.01205260754339961	0.47096774193548385	0.5032258064516129	2138	3748.5	227	42.6	22	10.5	121.5	655	0.9	3.886222839355469e-05	0.11374497413635254
