gen	invalid	avg	std	min	max	best_ind_length	avg_length	best_ind_nodes	avg_nodes	best_ind_depth	avg_depth	avg_used_codons	best_ind_used_codons	structural_diversity	selection_time	generation_time
0	0	0.4967741935483872	5.551115123125783e-17	0.49677419354838714	0.49677419354838714	4558	4582.6	1008	1016.2	13	13.0	3055.4	3039	1.0	0	5.6880106925964355
1	0	0.4929032258064517	0.009655890030384378	0.47096774193548385	0.5032258064516129	7196	4595.8	325	646.6	26	12.4	1938.8	936	1.0	4.100799560546875e-05	1.9022181034088135
2	0	0.4929032258064517	0.011248771467201758	0.47096774193548385	0.5096774193548388	7196	5371.6	325	478.1	26	14.1	1426.5	936	1.0	5.8650970458984375e-05	1.8738749027252197
3	0	0.48709677419354847	0.010098371511289398	0.47096774193548385	0.49677419354838714	7196	5119.2	325	359.8	26	12.1	1074.0	936	0.9	4.5299530029296875e-05	1.926131010055542
4	0	0.48322580645161295	0.009326988577290966	0.47096774193548385	0.49677419354838714	7196	5312.0	325	187.0	26	12.6	550.2	936	0.9	3.647804260253906e-05	1.85260009765625
5	0	0.48193548387096774	0.009591012095044196	0.47096774193548385	0.5032258064516129	7196	6045.2	325	75.8	26	9.8	213.5	936	0.8	4.315376281738281e-05	1.8040060997009277
6	0	0.487741935483871	0.02182133487133904	0.47096774193548385	0.5483870967741935	7196	6489.3	325	90.5	26	12.9	257.9	936	0.9	2.7894973754882812e-05	1.9635705947875977
7	0	0.48580645161290326	0.014726080271630089	0.47096774193548385	0.5161290322580645	7196	6398.9	325	47.5	26	8.9	134.5	936	0.8	4.124641418457031e-05	1.7459242343902588
8	0	0.4832258064516129	0.01592124216677816	0.47096774193548385	0.5290322580645161	7196	5452.7	325	35.3	26	6.8	100.0	936	0.9	2.6941299438476562e-05	1.5941143035888672
9	0	0.47870967741935483	0.0063212638523437005	0.47096774193548385	0.49677419354838714	7196	5991.3	325	49.8	26	9.9	141.2	936	0.8	4.100799560546875e-05	1.6676359176635742
10	0	0.4838709677419355	0.015267302666063522	0.47096774193548385	0.5225806451612903	7196	5452.7	325	35.5	26	6.9	100.4	936	0.9	4.5299530029296875e-05	1.6230158805847168
11	0	0.4774193548387097	0.010402913223611032	0.4580645161290322	0.5032258064516129	7329	6489.3	219	62.1	44	11.8	177.0	621	0.8	4.029273986816406e-05	1.7377383708953857
12	0	0.47935483870967743	0.01081487394467113	0.4580645161290322	0.49677419354838714	7329	6851.4	219	67.1	44	13.1	189.2	621	0.9	4.1961669921875e-05	1.6976981163024902
13	0	0.4806451612903226	0.014782502241793045	0.4580645161290322	0.5161290322580645	7329	6956.1	219	96.4	44	14.4	272.6	621	0.9	4.267692565917969e-05	1.7601287364959717
14	0	0.47935483870967743	0.01581632344791132	0.4580645161290322	0.5225806451612903	7329	6999.4	219	99.5	44	15.3	280.4	621	0.9	4.076957702636719e-05	1.8106579780578613
15	0	0.4748387096774193	0.006579380017539094	0.4580645161290322	0.4838709677419355	7329	7040.0	219	99.7	44	17.9	282.1	621	0.9	4.6253204345703125e-05	1.8507649898529053
16	0	0.48193548387096774	0.015816323447911323	0.4580645161290322	0.5161290322580645	7329	7024.4	219	103.4	44	16.1	291.1	621	0.9	4.482269287109375e-05	1.8189210891723633
17	0	0.48451612903225805	0.016934715804395734	0.4580645161290322	0.5161290322580645	7329	7061.3	219	131.7	44	19.8	368.5	621	0.9	2.6702880859375e-05	1.980437994003296
18	0	0.4806451612903226	0.014782502241793071	0.4580645161290322	0.5096774193548388	7329	7011.1	219	137.4	44	19.7	387.6	621	0.9	4.458427429199219e-05	2.072376012802124
19	0	0.47870967741935483	0.01436842416214201	0.4580645161290322	0.5032258064516129	7329	6979.7	219	83.9	44	17.2	236.1	621	1.0	4.4345855712890625e-05	2.1721291542053223
20	0	0.47677419354838707	0.012052607543399646	0.4580645161290322	0.49677419354838714	7329	6916.6	219	91.7	44	17.6	257.3	621	1.0	4.553794860839844e-05	1.7433881759643555
21	0	0.4838709677419355	0.021783152278882754	0.4580645161290322	0.5354838709677419	7329	7022.5	219	91.0	44	18.9	256.1	621	1.0	2.6702880859375e-05	1.7553131580352783
22	0	0.4941935483870967	0.03476695118789029	0.4580645161290322	0.5612903225806452	7329	6965.0	219	83.2	44	16.9	236.3	621	1.0	4.315376281738281e-05	1.7939481735229492
23	0	0.48129032258064514	0.0163723581167091	0.4580645161290322	0.5096774193548388	7329	6973.3	219	94.4	44	17.8	265.3	621	1.0	4.1484832763671875e-05	2.0460424423217773
24	0	0.4780645161290322	0.019664194392423468	0.4580645161290322	0.5290322580645161	7329	6872.1	219	80.9	44	16.9	227.9	621	1.0	4.363059997558594e-05	1.6930530071258545
25	0	0.48903225806451606	0.03261735396068268	0.4580645161290322	0.5612903225806452	7329	6833.5	219	84.4	44	16.7	238.2	621	1.0	4.57763671875e-05	1.6864042282104492
26	0	0.48516129032258065	0.032617353960682695	0.4580645161290322	0.5741935483870968	7329	6988.5	219	90.7	44	18.4	255.7	621	1.0	4.029273986816406e-05	1.7623698711395264
27	0	0.4838709677419355	0.023081992025804306	0.4580645161290322	0.5290322580645161	7329	6677.4	219	90.0	44	18.4	252.0	621	1.0	4.315376281738281e-05	1.8587164878845215
28	0	0.4774193548387096	0.01499219359822228	0.4580645161290322	0.5032258064516129	7329	6883.7	219	89.7	44	19.0	253.9	621	1.0	3.0279159545898438e-05	1.7861738204956055
29	0	0.4793548387096774	0.0189308396788661	0.4580645161290322	0.5225806451612903	7329	6974.2	219	102.9	44	20.5	291.2	621	1.0	2.7418136596679688e-05	1.8038105964660645
30	0	0.48064516129032253	0.017609476211556365	0.4580645161290322	0.5032258064516129	7329	6988.5	219	108.5	44	20.6	305.5	621	1.0	4.38690185546875e-05	1.8313305377960205
31	0	0.48193548387096774	0.01957934310386261	0.4580645161290322	0.5161290322580645	7329	7025.4	219	92.5	44	17.6	260.3	621	1.0	2.9325485229492188e-05	1.7108478546142578
32	0	0.4825806451612903	0.022681801072576703	0.4580645161290322	0.5354838709677419	7329	7024.4	219	127.7	44	22.4	357.2	621	1.0	3.8623809814453125e-05	2.0055720806121826
33	0	0.4793548387096774	0.017797566740817724	0.4580645161290322	0.5096774193548388	7329	7038.7	219	97.7	44	18.8	274.3	621	1.0	4.38690185546875e-05	1.725712776184082
34	0	0.48129032258064514	0.0191820241900884	0.4580645161290322	0.5161290322580645	7329	6840.1	219	79.5	44	16.3	222.7	621	1.0	4.076957702636719e-05	1.6577723026275635
35	0	0.48129032258064514	0.019822311607402877	0.4580645161290322	0.5161290322580645	7329	6903.5	219	84.0	44	17.7	237.7	621	1.0	5.078315734863281e-05	1.766181468963623
36	0	0.48064516129032253	0.020248199776097067	0.4580645161290322	0.5161290322580645	7329	6952.6	219	76.2	44	16.6	214.4	621	1.0	2.8133392333984375e-05	1.6430001258850098
37	0	0.46967741935483864	0.012838547575569301	0.44516129032258067	0.4903225806451613	6336	6840.1	34	80.1	15	17.3	224.9	92	1.0	5.125999450683594e-05	1.7171831130981445
38	0	0.4716129032258064	0.020695503138510252	0.44516129032258067	0.5096774193548388	6336	6740.9	34	60.6	15	18.1	167.7	92	1.0	4.100799560546875e-05	1.7177646160125732
39	0	0.47870967741935483	0.03658695968711698	0.44516129032258067	0.5741935483870968	6336	6697.3	34	62.6	15	17.7	174.0	92	1.0	4.029273986816406e-05	1.70867919921875
40	0	0.47290322580645167	0.027073722914009418	0.44516129032258067	0.5419354838709678	6336	6667.2	34	56.9	15	16.6	157.7	92	1.0	3.361701965332031e-05	1.72027587890625
41	0	0.47354838709677427	0.025020283135052036	0.44516129032258067	0.5290322580645161	6336	6669.6	34	57.3	15	17.2	157.4	92	1.0	4.220008850097656e-05	1.7628073692321777
42	0	0.4748387096774194	0.02518609199476535	0.44516129032258067	0.5225806451612903	6336	6603.8	34	58.2	15	16.0	161.0	92	1.0	3.1948089599609375e-05	1.7851221561431885
43	0	0.4767741935483872	0.031135299385841687	0.44516129032258067	0.5548387096774193	6336	6504.5	34	64.6	15	18.3	178.8	92	1.0	4.0531158447265625e-05	1.8625884056091309
44	0	0.47290322580645167	0.024148344867371493	0.44516129032258067	0.5290322580645161	6336	6504.5	34	56.5	15	17.1	156.0	92	1.0	3.790855407714844e-05	1.701056718826294
45	0	0.47806451612903234	0.0292037943167904	0.44516129032258067	0.5419354838709678	6336	6603.8	34	78.7	15	18.4	218.1	92	1.0	3.695487976074219e-05	1.7805163860321045
46	0	0.47290322580645167	0.02081582684503443	0.44516129032258067	0.5032258064516129	6336	6673.0	34	76.0	15	19.7	210.8	92	1.0	4.00543212890625e-05	1.6948745250701904
47	0	0.47290322580645167	0.020614897172478032	0.44516129032258067	0.49677419354838714	6336	6504.5	34	72.3	15	18.5	200.7	92	1.0	4.863739013671875e-05	1.6933534145355225
48	0	0.47225806451612906	0.022864574382799166	0.44516129032258067	0.5096774193548388	6336	6504.5	34	58.9	15	16.3	162.9	92	1.0	4.3392181396484375e-05	1.685293197631836
49	0	0.4774193548387097	0.026756698520422877	0.44516129032258067	0.5161290322580645	6336	6441.1	34	53.0	15	14.8	147.7	92	1.0	3.981590270996094e-05	1.6924188137054443
50	0	0.47032258064516136	0.019874737807418556	0.44516129032258067	0.5096774193548388	6336	6540.4	34	55.7	15	16.1	154.8	92	1.0	3.743171691894531e-05	1.6343319416046143
51	0	0.4709677419354839	0.018698550640244456	0.44516129032258067	0.49677419354838714	6336	6540.4	34	77.1	15	18.3	214.2	92	1.0	3.504753112792969e-05	1.79603910446167
52	0	0.4806451612903226	0.031507394702128454	0.44516129032258067	0.5354838709677419	6336	6540.4	34	56.7	15	16.6	155.7	92	1.0	4.3392181396484375e-05	1.7179222106933594
53	0	0.47354838709677427	0.022199549076239052	0.44516129032258067	0.5096774193548388	6336	6542.4	34	50.5	15	15.8	139.7	92	1.0	4.38690185546875e-05	1.7477843761444092
54	0	0.46967741935483875	0.021935483870967765	0.44516129032258067	0.5096774193548388	6336	6540.4	34	65.7	15	18.3	183.4	92	1.0	3.743171691894531e-05	1.8267247676849365
55	0	0.4748387096774194	0.02583868954129135	0.44516129032258067	0.5161290322580645	6336	6543.6	34	61.4	15	16.7	170.8	92	1.0	3.0994415283203125e-05	1.736196756362915
56	0	0.4741935483870969	0.035834049230964685	0.44516129032258067	0.5612903225806452	6489	6459.1	47	59.8	16	17.4	167.3	134	1.0	2.7179718017578125e-05	1.7089953422546387
57	0	0.4593548387096774	0.018429492718820235	0.43870967741935485	0.5032258064516129	6362	6472.3	43	51.5	17	16.6	143.9	118	1.0	4.076957702636719e-05	1.7378997802734375
58	0	0.46580645161290335	0.023404331802860726	0.43870967741935485	0.49677419354838714	6362	6459.0	43	74.9	17	20.0	209.2	118	1.0	4.00543212890625e-05	1.778984785079956
